"country","subject","resp","cat","condition","site"
"Germany",4567,0,0.5,"mind",4
"Germany",4605,0,-0.5,"body",4
"Germany",4605,1,0.5,"mind",4
"Germany",4613,1,-0.5,"body",4
"Germany",4613,3,0.5,"mind",4
"Germany",4626,0,-0.5,"body",4
"Germany",4626,0,0.5,"mind",4
"India",4675,0,-0.5,"body",5
"India",4675,0,0.5,"mind",5
"India",4687,0,-0.5,"body",5
"India",4687,0,0.5,"mind",5
"India",4696,1,-0.5,"body",5
"India",4696,3,0.5,"mind",5
"India",4697,2,-0.5,"body",5
"India",4697,1,0.5,"mind",5
"India",4706,3,-0.5,"body",5
"India",4706,3,0.5,"mind",5
"India",4707,0,-0.5,"body",5
"India",4707,1,0.5,"mind",5
"India",4714,1,-0.5,"body",5
"India",4714,3,0.5,"mind",5
"India",4720,2,-0.5,"body",5
"India",4720,3,0.5,"mind",5
"India",4721,1,-0.5,"body",5
"India",4721,2,0.5,"mind",5
"India",4723,3,-0.5,"body",5
"India",4723,3,0.5,"mind",5
"India",4728,1,-0.5,"body",5
"India",4728,2,0.5,"mind",5
"India",4735,0,-0.5,"body",5
"India",4735,2,0.5,"mind",5
"India",4745,3,-0.5,"body",5
"India",4745,2,0.5,"mind",5
"India",4750,0,-0.5,"body",5
"India",4750,3,0.5,"mind",5
"India",4761,0,-0.5,"body",5
"India",4761,0,0.5,"mind",5
"India",4768,0,-0.5,"body",5
"India",4768,0,0.5,"mind",5
"India",4770,3,-0.5,"body",5
"India",4770,3,0.5,"mind",5
"India",4784,0,-0.5,"body",5
"India",4784,2,0.5,"mind",5
"India",4788,2,-0.5,"body",5
"India",4788,2,0.5,"mind",5
"India",4789,0,-0.5,"body",5
"India",4789,3,0.5,"mind",5
"India",4795,1,-0.5,"body",5
"India",4795,3,0.5,"mind",5
"India",4796,1,-0.5,"body",5
"India",4796,3,0.5,"mind",5
"India",4799,0,-0.5,"body",5
"India",4799,0,0.5,"mind",5
"India",4808,3,-0.5,"body",5
"India",4808,3,0.5,"mind",5
"India",4815,2,-0.5,"body",5
